Date,Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total),Sponsored followers,Organic followers,Total followers,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Likes (organic),Likes (sponsored),Likes (total),Comments (organic),Comments (sponsored),Comments (total),Shares (organic),Shares (sponsored),Shares (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
2018-06-08,198.0,288.0,486.0,142.0,97.0,239.0,0.0,63.0,63.0,5313.0,0.0,5313.0,2393.0,55.0,55.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.014304536043666478,0.0,0.014304536043666478
2018-06-09,61.0,225.0,286.0,46.0,87.0,133.0,0.0,34.0,34.0,3486.0,0.0,3486.0,1669.0,35.0,35.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.014629948364888123,0.0,0.014629948364888123
2018-06-10,69.0,268.0,337.0,54.0,82.0,135.0,0.0,48.0,48.0,3535.0,0.0,3535.0,1653.0,39.0,39.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.01640735502121641,0.0,0.01640735502121641
2018-06-11,216.0,289.0,505.0,159.0,98.0,257.0,0.0,62.0,62.0,5349.0,0.0,5349.0,2306.0,47.0,47.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010282295756216114,0.0,0.010282295756216114
2018-06-12,256.0,363.0,619.0,179.0,112.0,290.0,0.0,73.0,73.0,4951.0,0.0,4951.0,2015.0,46.0,46.0,0.0,16.0,0.0,16.0,1.0,0.0,1.0,2.0,0.0,2.0,0.013128660876590587,0.0,0.013128660876590587
2018-06-13,212.0,340.0,552.0,165.0,104.0,269.0,0.0,75.0,75.0,4590.0,0.0,4590.0,1805.0,46.0,46.0,0.0,15.0,0.0,15.0,1.0,0.0,1.0,2.0,0.0,2.0,0.013943355119825708,0.0,0.013943355119825708
2018-06-14,230.0,351.0,581.0,172.0,113.0,285.0,0.0,61.0,61.0,3868.0,0.0,3868.0,1585.0,34.0,34.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,0.012150982419855223,0.0,0.012150982419855223
2018-06-15,142.0,323.0,465.0,103.0,102.0,204.0,0.0,38.0,38.0,2272.0,0.0,2272.0,1042.0,26.0,26.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.01584507042253521,0.0,0.01584507042253521
2018-06-16,60.0,257.0,317.0,47.0,87.0,134.0,0.0,38.0,38.0,1691.0,0.0,1691.0,785.0,32.0,32.0,0.0,5.0,0.0,5.0,-1.0,0.0,-1.0,3.0,0.0,3.0,0.023063276167947958,0.0,0.023063276167947958
2018-06-17,69.0,230.0,299.0,48.0,76.0,123.0,0.0,30.0,30.0,1487.0,0.0,1487.0,675.0,22.0,22.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01815736381977135,0.0,0.01815736381977135
2018-06-18,254.0,273.0,527.0,207.0,81.0,287.0,0.0,72.0,72.0,2658.0,0.0,2658.0,1210.0,37.0,37.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.018434913468773514,0.0,0.018434913468773514
2018-06-19,234.0,281.0,515.0,180.0,88.0,268.0,0.0,85.0,85.0,2896.0,0.0,2896.0,1366.0,23.0,23.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.013466850828729282,0.0,0.013466850828729282
2018-06-20,231.0,308.0,539.0,184.0,106.0,290.0,4.0,71.0,75.0,2434.0,0.0,2434.0,1143.0,34.0,34.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.016433853738701727,0.0,0.016433853738701727
2018-06-21,274.0,266.0,540.0,192.0,93.0,283.0,5.0,88.0,93.0,2190.0,0.0,2190.0,993.0,24.0,24.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015525114155251141,0.0,0.015525114155251141
