Location,Total followers
"Indianapolis, Indiana Area",56075
"Bloomington, Indiana Area",39203
Greater Chicago Area,36751
Greater New York City Area,13246
Washington D.C. Metro Area,6732
San Francisco Bay Area,6580
Greater Los Angeles Area,6306
"Louisville, Kentucky Area",6282
"Fort Wayne, Indiana Area",5979
"Cincinnati, Ohio Area",5432
Greater Denver Area,4640
Greater Atlanta Area,4211
"South Bend, Indiana Area",3623
Dallas/Fort Worth Area,3446
"Evansville, Indiana Area",3444
Greater Boston Area,3317
Greater Seattle Area,3057
Greater Detroit Area,2856
Greater St. Louis Area,2695
"Phoenix, Arizona Area",2533
Greater Minneapolis-St. Paul Area,2416
Greater Philadelphia Area,2207
"Columbus, Ohio Area",2194
"Houston, Texas Area",2159
"Austin, Texas Area",1986
"Greater Nashville Area, TN",1890
Greater San Diego Area,1796
"Tampa/St. Petersburg, Florida Area",1703
Miami/Fort Lauderdale Area,1669
"Cleveland/Akron, Ohio Area",1580
"Raleigh-Durham, North Carolina Area",1567
"Lafayette, Indiana Area",1534
"Portland, Oregon Area",1496
"Elkhart, Indiana Area",1419
"Charlotte, North Carolina Area",1406
Greater Milwaukee Area,1317
"Orange County, California Area",1252
"Terre Haute, Indiana Area",1226
Greater Pittsburgh Area,1204
"Orlando, Florida Area",1100
"Baltimore, Maryland Area",1100
"Kokomo, Indiana Area",1066
"Kansas City, Missouri Area",994
"West Palm Beach, Florida Area",830
"Muncie, Indiana Area",829
"Greater Grand Rapids, Michigan Area",811
"Dayton, Ohio Area",797
"Madison, Wisconsin Area",784
"Jacksonville, Florida Area",695
"Las Vegas, Nevada Area",668
"Lexington, Kentucky Area",582
"Sarasota, Florida Area",572
Greater Salt Lake City Area,567
"Sacramento, California Area",555
"London, United Kingdom",518
"San Antonio, Texas Area",501
"Shanghai City, China",500
Greater Memphis Area,477
"New Delhi Area, India",466
"Norfolk, Virginia Area",462
"Greenville, South Carolina Area",460
"Fort Myers, Florida Area",443
"Tucson, Arizona Area",435
"Beijing City, China",430
"Toledo, Ohio Area",429
"Charleston, South Carolina Area",427
"Hartford, Connecticut Area",425
"Toronto, Canada Area",424
"Greensboro/Winston-Salem, North Carolina Area",422
"Mumbai Area, India",408
"Colorado Springs, Colorado Area",405
"Wichita, Kansas Area",404
"Richmond, Virginia Area",402
"Kalamazoo, Michigan Area",392
"Urbana-Champaign, Illinois Area",382
"Knoxville, Tennessee Area",382
"Lansing, Michigan Area",365
"Rochester, New York Area",353
"Paris Area, France",337
"Fort Collins, Colorado Area",336
"Bengaluru Area, India",330
"Des Moines, Iowa Area",329
"São Paulo Area, Brazil",326
"Naples, Florida Area",319
Greater New Orleans Area,312
Hawaiian Islands,308
"Albuquerque, New Mexico Area",291
"Saginaw, Michigan Area",286
Greater Omaha Area,272
"Charlottesville, Virginia Area",266
"Oklahoma City, Oklahoma Area",266
"Providence, Rhode Island Area",265
"Columbia, South Carolina Area",244
"Birmingham, Alabama Area",244
"Albany, New York Area",242
"Asheville, North Carolina Area",242
"Buffalo/Niagara, New York Area",234
"Benton Harbor, Michigan Area",234
"Hyderabad Area, India",231
