,screen_name,count
1,IUBloomington,791
0,IndianaUniv,202
183,IndianaMBB,118
83,IUHoosiers,96
153,IndianaFootball,90
338,IUNewsroom,81
67,IUDining,74
113,OfficialIMU,72
150,IUBProvost,66
46,KelleySchool,64
7,BTNLiveBIG,60
9,IUBArchives,58
492,IndianaWBB,55
75,IUMediaSchool,53
45,iufye,50
35,IURPS,50
176,IUJSoM,48
71,IUCollege,46
28,IU_OVPDEMA,45
139,IUbicentennial,43
36,IUScienceNews,42
34,IUFoundation,40
200,SustainIU,39
209,IndianaMSOC,39
23,IUPD_Btown,39
162,IUBCampusBus,38
347,unionboard,38
24,IUaaai,34
349,IUImpact,34
88,IUcinema,33
208,IUSICE,31
211,IUSchoolofEd,31
32,IUAA,31
13,IUAdmissions,30
84,iulibraries,29
16,hamiltonlugar,29
72,IUDM,27
340,IUAHCouncil,27
203,IUParking,26
68,HermanBWells,26
82,IUPUI,26
258,IndianaVB,25
217,iu_rural,23
345,IUartanddesign,23
224,IndianaXCTF,23
425,citybloomington,22
445,IndianaSwimDive,22
128,IndianaBase,22
30,IUAuditorium,21
403,InsideIU,21
