,hashtag,count
14,GoIU,62
50,Little500,53
71,iubloomington,43
54,IUBloomington,38
3,IU,25
6,IUFB,24
9,OneDayOneHoosier,24
36,IUBGrad19,23
70,IUDay,23
42,IUBB,19
499,IUMoveIn,18
162,iuwbb,16
488,IUWW,14
124,IUPacersNight,14
32,iubgrad19,13
213,GloryofColdIU,13
45,ThroughTheGates,11
102,IUday,10
397,IUHomecoming,10
453,BigRedEatsGreen,10
212,iuishome,10
316,GivingTuesday,9
51,Hoosiers,9
177,IUResearch,9
95,IUDAY,9
97,ItsOnUs,9
338,ElectionDay,9
510,ErniePyleDay,9
226,OTD,9
25,OnThisDay,9
30,IUWS,8
47,hoosiers,8
19,onedayonehoosier,8
92,MexicoRemixed,8
146,SpringBreakIU,7
125,Pacers,7
361,iuismagic,7
133,iubb,7
195,thankstoIUdonors,6
261,IUMS,6
56,B1G,6
347,IUFT,6
104,Q49,6
31,shotbysohile,6
388,iufb,5
171,iu,5
199,InfyPathfinders,5
307,IIBTV,5
155,IUWR,5
2,IUisEverywhere,5
254,IUVB,5
144,OperationStormyWeather,5
423,HoosierHysteria,5
214,openaccess,4
114,iuday,4
414,destINation,4
443,Bloomington,4
106,little500,4
34,IUisHome,4
164,Hoosier,4
37,FTK,4
377,environmentalchange,4
504,IUinAfrica,4
154,GloryOfColdIU,4
63,HoosierNation,4
60,IUSoftball,4
492,iuww,4
290,MakingIUHistory,4
18,IUinThailand,4
511,NationalErniePyleDay,4
96,IndianaUniversity,3
94,FridayFeeling,3
523,bacteria,3
99,NationalHaikuDay,3
355,Halloween,3
425,HispanicHeritageMonth,3
485,MHSRS2018,3
5,IUNSO19,3
111,Little5,3
493,HBHP2018,3
123,WomensHistoryMonth,3
126,PacersGameNight,3
143,IUShelterSelfie,3
391,B1GVotes,3
498,Rwanda,3
136,IUWBB,3
91,EarthDay,3
198,ValentinesDay,3
459,HoosierExperience,3
553,Indiana,3
456,IUCoolRoom,3
264,IUDining,3
367,NationalPumpkinDay,3
20,IUBase,3
323,iuxc,3
196,BlackHistoryMonth,3
78,IUBound,3
260,NationalBirdDay,3
342,IGWSgeologists,3
41,STEM,3
555,NationalSelfieDay,3
13,RowIU,3
250,snow,2
153,InternationalWomensDay,2
446,China,2
455,FIO18,2
222,Indy,2
150,ThankAJournalistDay,2
221,goiu,2
145,IUinMEX,2
440,Latinx,2
441,neuroscience,2
207,GOIU,2
442,iufootball,2
497,Hoosier2Hoosier,2
257,NationalLawEnforcementAppreciationDay,2
173,AAUSTEM,2
205,WednesdayWisdom,2
271,gingerbread,2
401,iuopenstudios,2
407,ThanksToIUDonors,2
167,avocadotoast,2
183,FreeThrow,2
236,iuaa,2
184,February,2
185,AnthroDay,2
285,GingerbreadHouseDay,2
189,LunarNewYear,2
436,iuvb,2
464,NeverForget,2
247,GloballyReady,2
426,IUSO,2
438,gohoosiers,2
500,driveiusafe,2
240,IUB,2
395,VOTE,2
491,H2HSale,2
180,IUMT,2
242,TylerStrong,2
293,IUClassof2020,2
310,iuclassof2020,2
22,MemorialDay,2
23,iu200,2
26,IUGrandChallenges,2
360,3Dprinting,2
38,NationalBikeToWorkDay,2
529,faq,2
315,FactOfTheDay,2
83,RentAPuppyIU,2
334,fakenews,2
82,ArborDay,2
533,BikeShare,2
80,opioid,2
333,BTNStandout,2
52,iumediaschooltravel,2
137,NCAAW,2
320,IUReseach,2
55,ThrowbackThursday,2
74,NASmember,2
368,goIU,2
324,NationalIndianaDay,2
545,FourthofJuly,2
62,IUalumni,2
64,TeacherAppreciationWeek,2
564,TrySomethingNewTuesday,2
543,visitbtown,2
357,B1Gvotes,2
348,SSAH,2
294,NationalCookieDay,2
296,OVPDEMA,2
506,ProIU,2
508,HoosierHospitality,2
298,COP24,2
122,FirstThursdays,2
243,BeatPurdue,2
119,FirstThursday,2
387,rural,2
118,TFW,2
308,plants,2
12,IU200,2
105,GoT,2
383,IUVotes,2
305,IUResearchDay,2
15,IUPD,2
364,THEGRUDGE,1
429,DayofHope,1
369,myjacobs,1
430,USWomensMidAm,1
370,verklempt,1
419,WorldAnimalDay2018,1
354,Statistics,1
366,NationalChocolateDay,1
424,iucareerready,1
427,NationalCoffeeDay,1
362,magicisreal,1
365,35mm,1
420,Gradfair,1
421,GradFair,1
358,Blockroaches,1
428,iufh,1
363,THERING,1
422,ArriveEarly,1
356,nerd,1
359,RIPUGYM,1
