token,count
campus,356
students,297
today,273
indiana,272
day,254
hoosiers,250
new,198
week,179
get,159
one,156
see,155
university,153
check,151
first,149
we're,146
time,146
hall,140
bloomington,139
know,133
student,132
join,130
tomorrow,130
make,124
congratulations,114
great,107
year,107
hoosier,105
back,102
indiana university,101
come,99
tonight,97
last,94
happy,94
welcome,92
class,91
help,90
summer,90
like,90
school,90
home,89
free,87
take,85
friday,84
break,82
around,82
looking,80
ready,78
#iubloomington,77
next,77
state,75
big,75
learn,75
beautiful,73
want,73
faculty,72
way,71
work,71
watch,70
weekend,70
sure,70
find,69
live,69
need,68
president,68
good,67
#goiu,67
fall,66
love,66
thanks,66
program,66
game,64
miss,64
years,64
open,63
alumni,63
hours,62
part,61
spring,60
win,59
thank,58
morning,58
right,58
research,57
center,57
#little500,56
celebrate,56
best,56
winter,56
meet,56
family,55
team,55
professor,55
story,53
world,53
dining,53
coming,53
history,53
imu,52
study,52
every,51
event,51
season,50
may,50
commencement,50
closed,49
annual,49
can't,49
mcrobbie,49
service,48
visit,48
instagram,47
#iuday,47
life,47
wait,46
international,46
fun,46
proud,46
place,45
forget,45
staff,45
thursday,44
still,44
semester,43
happening,43
make sure,43
community,43
across,43
vote,43
researchers,42
media,42
please,41
going,41
social,41
follow,41
food,41
start,41
support,40
night,40
say,40
congrats,40
saturday,40
let,40
days,40
monday,39
https,39
share,39
classes,39
iu's,39
two,39
april,38
final,38
weather,38
building,38
made,38
fair,38
always,38
got,37
music,37
tickets,37
working,37
stop,37
heads,37
look,37
inside,37
michael,37
important,37
alert,37
events,36
national,36
little,35
#iubgrad19,35
arts,35
august,35
amazing,35
college,34
hear,34
graduate,34
top,34
race,34
women,34
show,34
think,34
making,33
photo,33
honor,33
many,33
series,33
can't wait,33
away,33
favorite,33
end,33
senior,32
room,32
hey,32
#onedayonehoosier,32
another,32
info,32
even,32
bus,32
today's,32
dunn,31
update,31
street,31
taking,31
news,31
old,31
month,31
#iu,31
meeting,30
year's,30
learning,30
science,30
ceremony,30
director,30
excited,30
video,30
starting,30
celebrating,30
7pm,30
wells,30
that's,29
lane,29
ten,29
use,29
also,29
public,29
named,29
stadium,29
chance,29
read,29
we'll,29
tuesday,28
getting,28
celebration,28
along,28
voting,28
10th,28
really,28
project,28
million,28
faculty staff,28
ever,28
reminder,28
late,27
head,27
education,27
former,27
stay,27
sexual,27
dean,27
people,27
experience,27
around campus,27
three,27
list,27
alumnus,27
details,27
due,27
jordan,27
art,26
things,26
scholars,26
there's,26
award,26
herman,26
house,26
enjoy,26
county,26
social media,26
keep,26
left,26
gates,26
early,25
alum,25
friends,25
john,25
assembly,25
assembly hall,25
library,24
survey,24
heads hoosiers,24
wednesday,24
screening,24
members,24
parking,24
lead,24
concert,24
major,24
everyone,24
grant,24
featuring,24
facebook,24
never,24
challenge,23
memorial,23
office,23
local,23
future,23
holiday,23
health,23
play,23
#iufb,23
here's,23
evening,23
remember,23
takes,23
helping,23
since,23
special,23
cream,23
ernie,23
talk,23
black,23
graduates,23
film,23
luck,23
#iubb,22
together,22
outside,22
forward,22
impact,22
global,22
dunn meadow,22
tournament,22
pyle,22
hosted,22
let know,22
could,22
meadow,22
traffic,22
road,22
crimson,22
second,22
gift,22
sharing,22
spring break,22
big ten,22
president mcrobbie,22
http,21
environmental,21
wait see,21
monroe,21
much,21
spirit,21
schedule,21
tornado,21
career,21
basketball,21
trip,21
photos,21
leaders,21
tune,21
covered,21
running,21
better,21
hope,21
full,21
sunday,21
sorry,21
well,21
students faculty,20
seeing,20
member,20
ncaa,20
recent,20
would,20
century,20
ernie pyle,20
safe,20
laps,20
using,20
high,20
scholar,20
ago,19
june,19
teams,19
online,19
give,19
snow,19
ranked,19
studies,19
different,19
available,19
law,19
design,19
party,19
icymi,19
looks,19
opportunity,19
internship,19
town,19
board,19
women's,19
took,19
water,19
training,19
attend,19
camp,19
innovation,19
soul,19
abroad,19
let's,19
lot,18
found,18
track,18
interested,18
#hoosiers,18
begin,18
#gloryofcoldiu,18
#iumovein,18
officially,18
american,18
https://t…,18
sign,18
coach,18
cream crimson,18
information,18
apply,18
yesterday,18
housing,18
sample,18
app,18
times,18
wonderful,18
george,18
noon,18
almost,18
herman wells,18
anniversary,18
competition,18
visiting,18
what's,18
catch,18
something,18
zaid,18
finals,18
welcome family,18
job,18
#iuww,18
visited,18
host,18
programs,18
attention,17
monroe county,17
near,17
degree,17
purdue,17
july,17
lots,17
cool,17
performance,17
starts,17
long,17
current,17
newscast,17
intern,17
rain,17
soul revue,17
gorgeous,17
led,17
engagement,17
revue,17
festival,17
including,17
incoming,17
soon,17
last week,17
winning,17
#iuwbb,17
good morning,17
good luck,17
honored,17
created,17
involved,17
tips,17
construction,17
volunteer,17
perfect,17
https://t.co/…,16
bike,16
junior,16
lugar,16
awesome,16
globe,16
post,16
hosting,16
set,16
avenue,16
business,16
weekly,16
questions,16
march,16
rwanda,16
michael mcrobbie,16
four,16
safety,16
kirkwood,16
group,16
incredible,15
studying,15
